ID,Gender,Marital status,Age,Education,Income,Occupation,Settlement size
100000033,male,single,30,other / unknown,162745,skilled employee / official,big city
100000034,male,single,57,university,87605,unemployed/ unskilled,small city
100000035,female,married,33,high school,155569,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000036,male,single,25,other / unknown,104505,unemployed/ unskilled,small city
100000037,male,single,31,other / unknown,143385,skilled employee / official,big city
100000038,male,single,37,high school,127676,skilled employee / official,mid-sized city
100000039,male,single,37,high school,119276,skilled employee / official,mid-sized city
100000040,male,single,24,other / unknown,92542,skilled employee / official,mid-sized city
100000041,male,single,30,other / unknown,163329,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000042,male,married,26,high school,130921,skilled employee / official,small city
100000043,male,single,44,high school,133658,unemployed/ unskilled,small city
100000044,male,married,24,high school,155104,skilled employee / official,mid-sized city
100000045,female,married,58,university,142335,unemployed/ unskilled,mid-sized city
100000046,female,married,35,high school,138387,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000047,male,single,39,high school,140182,skilled employee / official,small city
100000048,female,married,23,high school,65421,unemployed/ unskilled,small city
100000049,male,single,39,high school,130500,unemployed/ unskilled,small city
100000050,female,married,28,high school,122831,skilled employee / official,small city
100000051,male,single,29,other / unknown,84531,unemployed/ unskilled,small city
100000052,male,single,30,other / unknown,180196,management/ self employed/ highly qualified employee/ officer,big city
100000053,male,single,25,other / unknown,92058,skilled employee / official,big city
100000054,male,single,31,other / unknown,117158,skilled employee / official,small city
100000055,male,single,57,university,135830,skilled employee / official,mid-sized city
100000056,male,single,26,other / unknown,58258,unemployed/ unskilled,small city
100000057,male,single,52,high school,202575,management/ self employed/ highly qualified employee/ officer,big city
100000058,female,married,31,high school,183657,skilled employee / official,mid-sized city
100000059,female,married,23,high school,152267,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000060,female,married,23,high school,115240,unemployed/ unskilled,small city
100000061,male,married,27,high school,106955,skilled employee / official,big city
100000062,male,single,50,high school,123641,skilled employee / official,mid-sized city
100000063,male,single,61,university,166410,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000064,male,single,25,other / unknown,227385,skilled employee / official,big city
100000065,female,married,26,high school,118372,skilled employee / official,mid-sized city
100000066,male,single,48,high school,148115,skilled employee / official,mid-sized city
100000067,female,married,29,high school,111069,skilled employee / official,small city
100000068,male,married,22,high school,139780,skilled employee / official,small city
100000069,male,single,37,high school,106978,skilled employee / official,big city
100000070,female,married,25,high school,110019,skilled employee / official,big city
100000071,female,married,30,high school,169102,skilled employee / official,mid-sized city
100000072,male,single,46,high school,73703,unemployed/ unskilled,small city
100000073,male,single,51,high school,141858,management/ self employed/ highly qualified employee/ officer,big city
100000074,female,married,41,university,135959,unemployed/ unskilled,small city
100000075,male,single,40,high school,140888,management/ self employed/ highly qualified employee/ officer,big city
100000076,male,single,66,university,157299,management/ self employed/ highly qualified employee/ officer,big city
100000077,male,single,34,high school,125187,skilled employee / official,mid-sized city
100000078,male,single,51,high school,155486,skilled employee / official,big city
100000079,male,single,39,high school,151697,unemployed/ unskilled,small city
100000080,male,married,22,high school,126400,skilled employee / official,mid-sized city
100000081,female,married,44,university,159246,skilled employee / official,big city
100000082,male,single,47,high school,136138,skilled employee / official,mid-sized city
100000083,female,married,24,high school,84792,unemployed/ unskilled,small city
100000084,female,married,58,university,100210,unemployed/ unskilled,small city
100000085,male,single,52,high school,93706,unemployed/ unskilled,small city
100000086,female,married,29,high school,133783,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000087,female,married,27,high school,110064,skilled employee / official,big city
100000088,male,single,47,high school,241068,skilled employee / official,mid-sized city
100000089,male,single,30,other / unknown,149022,management/ self employed/ highly qualified employee/ officer,big city
100000090,male,single,28,other / unknown,92973,skilled employee / official,big city
100000091,male,single,56,high school,110605,skilled employee / official,mid-sized city
100000092,male,single,54,high school,116604,skilled employee / official,mid-sized city
100000093,female,married,33,high school,71070,unemployed/ unskilled,small city
100000094,male,single,20,other / unknown,128678,skilled employee / official,mid-sized city
100000095,male,single,54,high school,165230,skilled employee / official,big city
100000096,male,single,58,university,268340,skilled employee / official,mid-sized city
100000097,female,married,61,university,135070,skilled employee / official,mid-sized city
100000098,male,single,34,high school,134794,skilled employee / official,big city
100000099,male,single,36,high school,120153,skilled employee / official,mid-sized city
100000100,male,single,36,high school,195465,management/ self employed/ highly qualified employee/ officer,big city
100000101,male,married,41,high school,93372,unemployed/ unskilled,small city
100000102,male,single,24,other / unknown,110446,skilled employee / official,small city
100000103,female,married,24,high school,95186,skilled employee / official,mid-sized city
100000104,male,single,35,high school,115343,skilled employee / official,mid-sized city
100000105,male,married,26,high school,107276,skilled employee / official,mid-sized city
100000106,male,single,39,high school,244716,management/ self employed/ highly qualified employee/ officer,big city
100000107,male,single,39,high school,183108,management/ self employed/ highly qualified employee/ officer,big city
100000108,male,single,32,other / unknown,152876,skilled employee / official,big city
100000109,female,married,30,high school,165147,skilled employee / official,small city
100000110,male,married,35,high school,140520,skilled employee / official,small city
100000111,male,married,31,high school,124203,skilled employee / official,mid-sized city
100000112,female,married,23,high school,107205,skilled employee / official,mid-sized city
100000113,male,single,28,other / unknown,121432,unemployed/ unskilled,big city
100000114,female,married,25,high school,162445,skilled employee / official,small city
100000115,male,married,35,high school,134112,skilled employee / official,mid-sized city
100000116,male,single,47,high school,131842,skilled employee / official,mid-sized city
100000117,female,married,30,high school,189896,management/ self employed/ highly qualified employee/ officer,small city
100000118,female,married,27,high school,109099,skilled employee / official,big city
100000119,female,married,23,high school,153539,skilled employee / official,mid-sized city
100000120,male,married,36,high school,180495,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000121,female,married,25,high school,104653,skilled employee / official,big city
100000122,female,married,41,university,166933,management/ self employed/ highly qualified employee/ officer,big city
100000123,male,single,24,other / unknown,66118,unemployed/ unskilled,small city
100000124,male,single,63,university,135754,skilled employee / official,small city
100000125,female,married,27,high school,116103,skilled employee / official,big city
100000126,male,single,30,other / unknown,104293,skilled employee / official,mid-sized city
100000127,male,married,40,high school,71702,unemployed/ unskilled,small city
100000128,male,single,30,other / unknown,99066,skilled employee / official,big city
100000129,male,single,34,high school,143979,management/ self employed/ highly qualified employee/ officer,big city
100000130,female,married,29,high school,123818,skilled employee / official,small city
100000131,female,married,24,high school,176714,skilled employee / official,big city
100000132,male,single,29,other / unknown,149249,skilled employee / official,big city
100000133,male,single,27,other / unknown,77535,unemployed/ unskilled,small city
100000134,male,single,47,high school,116540,skilled employee / official,mid-sized city
100000135,female,married,21,high school,194728,skilled employee / official,small city
100000136,female,married,38,high school,109311,skilled employee / official,big city
100000137,male,single,27,other / unknown,204723,skilled employee / official,big city
100000138,male,single,66,university,126003,unemployed/ unskilled,small city
100000139,male,single,35,high school,123109,skilled employee / official,mid-sized city
100000140,female,married,44,university,108251,unemployed/ unskilled,small city
100000141,male,married,27,high school,89908,unemployed/ unskilled,small city
100000142,female,married,30,high school,176057,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000143,male,single,27,other / unknown,144332,management/ self employed/ highly qualified employee/ officer,big city
100000144,male,single,22,other / unknown,101185,skilled employee / official,mid-sized city
100000145,female,married,23,high school,107406,skilled employee / official,big city
100000146,male,single,30,other / unknown,140665,skilled employee / official,mid-sized city
100000147,female,married,39,university,106461,skilled employee / official,small city
100000148,female,married,51,university,127825,skilled employee / official,small city
100000149,male,single,28,other / unknown,133898,skilled employee / official,mid-sized city
100000150,male,single,46,high school,152383,skilled employee / official,big city
100000151,male,single,42,high school,119926,skilled employee / official,small city
100000152,male,single,38,high school,108784,skilled employee / official,big city
100000153,male,single,24,other / unknown,153286,skilled employee / official,mid-sized city
100000154,female,married,29,high school,214204,skilled employee / official,big city
100000155,male,single,36,high school,208101,management/ self employed/ highly qualified employee/ officer,big city
100000156,female,married,20,high school,95355,skilled employee / official,mid-sized city
100000157,male,single,48,high school,124156,skilled employee / official,mid-sized city
100000158,male,married,45,university,72215,unemployed/ unskilled,small city
100000159,male,single,38,high school,146529,skilled employee / official,big city
100000160,male,single,34,high school,75343,unemployed/ unskilled,small city
100000161,male,single,36,high school,129789,skilled employee / official,mid-sized city
100000162,female,married,30,high school,101153,skilled employee / official,mid-sized city
100000163,male,single,36,high school,127833,skilled employee / official,big city
100000164,male,single,70,university,224998,management/ self employed/ highly qualified employee/ officer,big city
100000165,male,single,36,high school,124445,skilled employee / official,big city
100000166,male,single,32,other / unknown,141116,skilled employee / official,mid-sized city
100000167,female,married,33,high school,104276,skilled employee / official,big city
100000168,female,married,20,high school,147687,skilled employee / official,big city
100000169,female,married,25,high school,125168,skilled employee / official,mid-sized city
100000170,male,married,31,high school,115369,skilled employee / official,big city
100000171,male,single,33,high school,95445,skilled employee / official,small city
100000172,female,married,26,high school,95159,skilled employee / official,mid-sized city
100000173,female,married,34,high school,153031,management/ self employed/ highly qualified employee/ officer,big city
100000174,male,single,33,high school,108899,skilled employee / official,small city
100000175,male,single,26,other / unknown,113515,skilled employee / official,mid-sized city
100000176,female,married,53,university,211229,management/ self employed/ highly qualified employee/ officer,small city
100000177,male,married,42,university,121307,skilled employee / official,small city
100000178,male,single,52,high school,131727,skilled employee / official,big city
100000179,male,single,31,other / unknown,133574,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000180,male,single,65,university,117334,skilled employee / official,small city
100000181,male,married,28,high school,177291,skilled employee / official,big city
100000182,male,married,30,high school,168763,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000183,male,single,40,high school,77720,unemployed/ unskilled,small city
100000184,male,single,50,high school,176645,skilled employee / official,big city
100000185,male,single,36,high school,106205,skilled employee / official,mid-sized city
100000186,male,single,31,other / unknown,97785,skilled employee / official,mid-sized city
100000187,female,married,74,graduate school,214364,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000188,male,single,68,university,74525,unemployed/ unskilled,small city
100000189,male,married,20,high school,98988,skilled employee / official,small city
100000190,female,married,33,high school,133561,skilled employee / official,mid-sized city
100000191,male,single,54,high school,217651,management/ self employed/ highly qualified employee/ officer,big city
100000192,male,single,34,high school,116525,unemployed/ unskilled,small city
100000193,male,single,36,high school,135302,skilled employee / official,big city
100000194,male,married,29,high school,106434,skilled employee / official,mid-sized city
100000195,male,single,21,other / unknown,128350,skilled employee / official,big city
100000196,female,married,34,high school,147626,management/ self employed/ highly qualified employee/ officer,big city
100000197,female,married,28,high school,102697,skilled employee / official,small city
100000198,female,married,27,high school,120262,skilled employee / official,small city
100000199,male,single,36,high school,124214,skilled employee / official,big city
100000200,male,married,40,high school,175223,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000201,male,single,52,high school,137467,skilled employee / official,small city
100000202,male,married,27,high school,65815,unemployed/ unskilled,small city
100000203,male,single,26,other / unknown,129864,skilled employee / official,mid-sized city
100000204,male,married,21,high school,88475,skilled employee / official,mid-sized city
100000205,male,single,38,high school,74666,unemployed/ unskilled,small city
100000206,male,single,38,high school,222294,management/ self employed/ highly qualified employee/ officer,big city
100000207,male,single,43,high school,112878,skilled employee / official,small city
100000208,male,single,26,other / unknown,103411,skilled employee / official,big city
100000209,male,married,21,high school,112868,unemployed/ unskilled,small city
100000210,male,single,55,high school,157940,skilled employee / official,big city
100000211,male,single,33,high school,115835,skilled employee / official,big city
100000212,female,married,45,university,109807,unemployed/ unskilled,small city
100000213,male,single,50,high school,150699,skilled employee / official,mid-sized city
100000214,male,single,66,university,178967,management/ self employed/ highly qualified employee/ officer,small city
100000215,male,single,51,high school,132767,skilled employee / official,small city
100000216,female,married,39,university,86152,unemployed/ unskilled,small city
100000217,male,single,31,other / unknown,114528,skilled employee / official,big city
100000218,male,single,23,other / unknown,133912,skilled employee / official,mid-sized city
100000219,male,married,24,high school,81210,unemployed/ unskilled,small city
100000220,female,married,64,graduate school,131242,skilled employee / official,small city
100000221,male,married,26,high school,68804,unemployed/ unskilled,small city
100000222,female,married,23,high school,96961,skilled employee / official,mid-sized city
100000223,male,single,30,other / unknown,90719,skilled employee / official,big city
100000224,male,single,32,other / unknown,114116,skilled employee / official,mid-sized city
100000225,male,single,30,other / unknown,128639,skilled employee / official,mid-sized city
100000226,male,single,27,other / unknown,106623,skilled employee / official,mid-sized city
100000227,male,single,27,other / unknown,236264,skilled employee / official,mid-sized city
100000228,male,single,53,high school,207783,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000229,male,single,22,other / unknown,91739,skilled employee / official,mid-sized city
100000230,male,single,22,other / unknown,107780,skilled employee / official,big city
100000231,male,single,26,other / unknown,139157,skilled employee / official,big city
100000232,male,single,51,high school,121751,unemployed/ unskilled,small city
100000233,male,single,35,high school,121974,skilled employee / official,small city
100000234,male,married,25,high school,70320,unemployed/ unskilled,small city
100000235,male,single,42,high school,78327,unemployed/ unskilled,small city
100000236,male,single,30,other / unknown,131433,management/ self employed/ highly qualified employee/ officer,small city
100000237,male,single,23,other / unknown,167076,unemployed/ unskilled,big city
100000238,male,married,61,university,130788,unemployed/ unskilled,small city
100000239,female,married,35,high school,107408,skilled employee / official,mid-sized city
100000240,male,single,39,high school,115323,skilled employee / official,mid-sized city
100000241,female,married,29,high school,99012,skilled employee / official,small city
100000242,male,single,51,high school,115996,skilled employee / official,mid-sized city
100000243,male,single,24,other / unknown,123353,skilled employee / official,mid-sized city
100000244,female,married,27,high school,100008,skilled employee / official,small city
100000245,female,married,35,high school,125105,unemployed/ unskilled,small city
100000246,male,single,25,other / unknown,92020,skilled employee / official,big city
100000247,male,single,52,high school,108365,skilled employee / official,big city
100000248,male,single,35,high school,112979,skilled employee / official,small city
100000249,male,single,26,other / unknown,117221,skilled employee / official,mid-sized city
100000250,female,married,22,high school,88800,skilled employee / official,big city
100000251,female,married,39,university,115099,unemployed/ unskilled,small city
100000252,female,married,46,university,113399,unemployed/ unskilled,small city
100000253,female,married,24,high school,115879,skilled employee / official,mid-sized city
100000254,male,single,35,high school,141270,skilled employee / official,big city
100000255,male,single,24,other / unknown,107633,skilled employee / official,mid-sized city
100000256,male,single,27,other / unknown,131751,unemployed/ unskilled,small city
100000257,male,single,35,high school,83687,unemployed/ unskilled,small city
100000258,male,married,29,high school,106828,skilled employee / official,big city
100000259,female,married,23,high school,135537,skilled employee / official,mid-sized city
100000260,female,married,57,university,107142,unemployed/ unskilled,small city
100000261,male,single,27,other / unknown,97446,skilled employee / official,mid-sized city
100000262,female,married,55,university,126357,skilled employee / official,big city
100000263,male,single,36,high school,169617,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000264,female,married,57,university,108945,unemployed/ unskilled,small city
100000265,male,single,32,other / unknown,67345,unemployed/ unskilled,small city
100000266,male,single,37,high school,106215,skilled employee / official,small city
100000267,male,single,36,high school,149237,skilled employee / official,small city
100000268,female,married,38,high school,112124,skilled employee / official,small city
100000269,male,married,45,university,215150,management/ self employed/ highly qualified employee/ officer,big city
100000270,male,single,25,other / unknown,89534,skilled employee / official,mid-sized city
100000271,male,single,32,other / unknown,111082,skilled employee / official,big city
100000272,female,married,37,high school,137069,skilled employee / official,mid-sized city
100000273,male,single,36,high school,244541,management/ self employed/ highly qualified employee/ officer,big city
100000274,male,single,28,other / unknown,120712,skilled employee / official,mid-sized city
100000275,male,married,34,high school,175367,unemployed/ unskilled,small city
100000276,male,single,32,other / unknown,111418,skilled employee / official,mid-sized city
100000277,female,married,26,high school,110913,skilled employee / official,small city
100000278,male,married,49,university,84267,unemployed/ unskilled,small city
100000279,female,married,32,high school,136886,skilled employee / official,big city
100000280,male,single,29,other / unknown,144884,management/ self employed/ highly qualified employee/ officer,big city
100000281,male,single,23,other / unknown,151180,skilled employee / official,mid-sized city
100000282,male,single,50,high school,114997,skilled employee / official,mid-sized city
100000283,male,single,49,high school,100961,unemployed/ unskilled,small city
100000284,male,single,63,university,124849,skilled employee / official,big city
100000285,male,married,37,high school,152308,skilled employee / official,big city
100000286,female,married,35,high school,167945,unemployed/ unskilled,mid-sized city
100000287,male,single,26,other / unknown,126706,skilled employee / official,big city
100000288,male,single,31,other / unknown,210017,management/ self employed/ highly qualified employee/ officer,big city
100000289,female,married,49,university,125665,skilled employee / official,mid-sized city
100000290,male,married,48,university,111184,skilled employee / official,mid-sized city
100000291,male,married,26,high school,94134,skilled employee / official,small city
100000292,male,married,28,high school,214620,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000293,female,married,44,university,193816,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000294,male,single,56,high school,168714,skilled employee / official,mid-sized city
100000295,male,married,46,university,202997,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000296,female,married,26,high school,192451,skilled employee / official,big city
100000297,female,married,20,high school,127928,skilled employee / official,big city
100000298,male,single,45,high school,78253,unemployed/ unskilled,small city
100000299,male,single,43,high school,118446,skilled employee / official,mid-sized city
100000300,male,single,32,other / unknown,161379,skilled employee / official,big city
100000301,female,married,54,university,56622,unemployed/ unskilled,small city
100000302,female,married,42,university,146117,skilled employee / official,mid-sized city
100000303,male,single,37,high school,90418,unemployed/ unskilled,small city
100000304,male,single,49,high school,109053,skilled employee / official,small city
100000305,male,single,44,high school,219319,skilled employee / official,small city
100000306,male,married,33,high school,144701,skilled employee / official,mid-sized city
100000307,female,married,24,high school,102425,unemployed/ unskilled,small city
100000308,male,married,33,high school,79867,unemployed/ unskilled,small city
100000309,female,married,24,high school,107114,skilled employee / official,big city
100000310,male,married,22,high school,62263,unemployed/ unskilled,small city
100000311,male,single,40,high school,92567,unemployed/ unskilled,small city
100000312,male,single,25,other / unknown,146349,skilled employee / official,small city
100000313,female,married,26,high school,141825,skilled employee / official,mid-sized city
100000314,male,married,25,high school,68582,unemployed/ unskilled,small city
100000315,male,single,29,other / unknown,85476,unemployed/ unskilled,small city
100000316,male,single,31,other / unknown,111091,skilled employee / official,big city
100000317,male,single,38,high school,67110,unemployed/ unskilled,small city
100000318,female,married,48,university,126154,unemployed/ unskilled,small city
100000319,male,single,32,other / unknown,92257,skilled employee / official,big city
100000320,female,married,27,high school,93605,unemployed/ unskilled,small city
100000321,male,married,28,high school,165190,management/ self employed/ highly qualified employee/ officer,small city
100000322,male,married,32,high school,107195,skilled employee / official,small city
100000323,male,single,34,high school,145059,management/ self employed/ highly qualified employee/ officer,small city
100000324,male,single,28,other / unknown,148363,skilled employee / official,small city
100000325,female,married,36,high school,105681,skilled employee / official,big city
100000326,male,single,39,high school,93732,unemployed/ unskilled,small city
100000327,male,single,49,high school,154778,skilled employee / official,big city
100000328,female,married,34,high school,149356,skilled employee / official,big city
100000329,male,single,31,other / unknown,145670,skilled employee / official,mid-sized city
100000330,male,single,28,other / unknown,101589,skilled employee / official,big city
100000331,male,single,75,university,213333,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000332,female,married,30,high school,122420,skilled employee / official,small city
100000333,female,married,24,high school,209856,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000334,female,married,24,high school,181003,unemployed/ unskilled,small city
100000335,male,single,23,other / unknown,117804,skilled employee / official,mid-sized city
100000336,male,married,44,university,160650,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000337,female,married,23,high school,84611,unemployed/ unskilled,small city
100000338,female,married,24,high school,98479,skilled employee / official,big city
100000339,male,single,28,other / unknown,122359,skilled employee / official,big city
100000340,male,married,31,high school,81394,unemployed/ unskilled,small city
100000341,female,married,24,high school,150372,skilled employee / official,mid-sized city
100000342,female,married,26,high school,92385,unemployed/ unskilled,small city
100000343,male,married,25,high school,149851,skilled employee / official,big city
100000344,male,single,33,high school,167939,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000345,male,single,37,high school,115426,unemployed/ unskilled,small city
100000346,female,married,43,university,85402,unemployed/ unskilled,small city
100000347,male,single,23,other / unknown,95815,skilled employee / official,big city
100000348,female,married,23,high school,97518,unemployed/ unskilled,small city
100000349,male,single,34,high school,87355,unemployed/ unskilled,small city
100000350,male,single,32,other / unknown,145933,skilled employee / official,mid-sized city
100000351,female,married,23,high school,97307,skilled employee / official,small city
100000352,female,married,29,high school,108434,skilled employee / official,big city
100000353,male,single,38,high school,151312,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000354,male,single,28,other / unknown,141847,skilled employee / official,mid-sized city
100000355,male,single,46,high school,130675,skilled employee / official,big city
100000356,male,single,23,other / unknown,69309,unemployed/ unskilled,small city
100000357,male,single,49,high school,121466,skilled employee / official,big city
100000358,male,single,26,other / unknown,153586,management/ self employed/ highly qualified employee/ officer,big city
100000359,male,married,28,high school,92849,skilled employee / official,small city
100000360,female,married,23,high school,108539,skilled employee / official,big city
100000361,male,single,61,university,129556,skilled employee / official,big city
100000362,male,single,37,high school,170146,management/ self employed/ highly qualified employee/ officer,small city
100000363,female,married,36,high school,135383,skilled employee / official,mid-sized city
100000364,male,married,21,high school,96769,skilled employee / official,big city
100000365,male,single,25,other / unknown,43684,unemployed/ unskilled,small city
100000366,male,single,36,high school,103521,skilled employee / official,small city
100000367,male,single,27,other / unknown,118499,skilled employee / official,mid-sized city
100000368,female,married,22,high school,119684,skilled employee / official,big city
100000369,male,single,42,high school,126586,skilled employee / official,mid-sized city
100000370,female,married,40,university,136812,skilled employee / official,big city
100000371,male,single,36,high school,118277,skilled employee / official,mid-sized city
100000372,male,single,33,high school,144597,skilled employee / official,mid-sized city
100000373,female,married,23,high school,106043,skilled employee / official,small city
100000374,male,single,63,university,272314,management/ self employed/ highly qualified employee/ officer,big city
100000375,female,married,60,university,309364,management/ self employed/ highly qualified employee/ officer,big city
100000376,female,married,37,high school,170386,skilled employee / official,mid-sized city
100000377,male,married,34,high school,112458,skilled employee / official,small city
100000378,male,single,36,high school,96840,skilled employee / official,mid-sized city
100000379,male,single,57,university,281923,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000380,female,married,52,university,95551,unemployed/ unskilled,small city
100000381,male,single,39,high school,112347,skilled employee / official,big city
100000382,female,married,38,high school,260977,management/ self employed/ highly qualified employee/ officer,big city
100000383,female,married,25,high school,99354,skilled employee / official,small city
100000384,male,single,26,other / unknown,111509,skilled employee / official,big city
100000385,male,single,26,other / unknown,105252,unemployed/ unskilled,small city
100000386,female,married,25,high school,108522,skilled employee / official,small city
100000387,female,married,21,high school,94655,skilled employee / official,mid-sized city
100000388,male,single,40,high school,201699,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000389,male,single,27,other / unknown,139868,skilled employee / official,big city
100000390,female,married,27,high school,102543,skilled employee / official,mid-sized city
100000391,male,married,30,high school,134467,management/ self employed/ highly qualified employee/ officer,big city
100000392,female,married,19,high school,111187,unemployed/ unskilled,small city
100000393,male,single,39,high school,152302,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000394,female,married,31,high school,110610,skilled employee / official,big city
100000395,male,single,31,other / unknown,137827,management/ self employed/ highly qualified employee/ officer,big city
100000396,male,single,32,other / unknown,220923,skilled employee / official,big city
100000397,female,married,55,university,165717,management/ self employed/ highly qualified employee/ officer,big city
100000398,male,married,46,university,122299,skilled employee / official,small city
100000399,male,married,46,university,120499,skilled employee / official,small city
100000400,female,married,43,university,126449,unemployed/ unskilled,small city
100000401,male,married,39,high school,108315,skilled employee / official,big city
100000402,male,married,28,high school,112515,skilled employee / official,mid-sized city
100000403,male,single,27,other / unknown,164559,skilled employee / official,mid-sized city
100000404,male,single,27,other / unknown,59238,unemployed/ unskilled,small city
100000405,male,single,43,high school,131133,skilled employee / official,small city
100000406,male,married,22,high school,109188,skilled employee / official,small city
100000407,male,single,43,high school,115393,skilled employee / official,mid-sized city
100000408,male,married,27,high school,94711,skilled employee / official,big city
100000409,male,married,26,high school,171860,management/ self employed/ highly qualified employee/ officer,small city
100000410,male,married,28,high school,139414,skilled employee / official,big city
100000411,female,married,20,high school,110931,skilled employee / official,mid-sized city
100000412,male,single,35,high school,187549,management/ self employed/ highly qualified employee/ officer,big city
100000413,male,single,42,high school,145508,management/ self employed/ highly qualified employee/ officer,small city
100000414,male,single,40,high school,104240,unemployed/ unskilled,small city
100000415,female,married,35,high school,108272,skilled employee / official,mid-sized city
100000416,male,single,35,high school,144004,skilled employee / official,big city
100000417,male,single,33,high school,81083,unemployed/ unskilled,small city
100000418,female,married,23,high school,166763,skilled employee / official,mid-sized city
100000419,female,married,31,high school,175530,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000420,female,married,33,high school,112422,skilled employee / official,mid-sized city
100000421,female,married,20,high school,154134,skilled employee / official,big city
100000422,male,single,30,other / unknown,112401,skilled employee / official,mid-sized city
100000423,male,single,47,high school,85690,unemployed/ unskilled,small city
100000424,male,single,34,high school,145896,management/ self employed/ highly qualified employee/ officer,big city
100000425,female,married,25,high school,122552,skilled employee / official,big city
100000426,male,married,21,high school,115494,skilled employee / official,big city
100000427,male,single,29,other / unknown,109467,skilled employee / official,small city
100000428,male,single,46,high school,148226,skilled employee / official,big city
100000429,male,single,20,other / unknown,88559,skilled employee / official,mid-sized city
100000430,female,married,55,university,62393,unemployed/ unskilled,small city
100000431,male,single,74,university,122133,unemployed/ unskilled,small city
100000432,male,single,29,other / unknown,230883,management/ self employed/ highly qualified employee/ officer,big city
100000433,male,single,36,high school,136689,management/ self employed/ highly qualified employee/ officer,big city
100000434,male,married,33,high school,109145,skilled employee / official,small city
100000435,male,single,25,other / unknown,100449,skilled employee / official,big city
100000436,male,married,25,high school,106253,skilled employee / official,small city
100000437,male,married,23,high school,84747,unemployed/ unskilled,small city
100000438,female,married,37,high school,149465,skilled employee / official,mid-sized city
100000439,male,single,65,university,84435,unemployed/ unskilled,small city
100000440,female,married,26,high school,51681,unemployed/ unskilled,small city
100000441,male,single,39,high school,139198,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000442,female,married,30,high school,106577,skilled employee / official,mid-sized city
100000443,male,single,29,other / unknown,117372,skilled employee / official,big city
